"STATION","NAME","DATE","DAPR","MDPR","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00280907","BOONTON 1 SE, NJ US","2018-04-26",,,"1.12",,"0.0","0.0",,"59","51","54",
"USC00280907","BOONTON 1 SE, NJ US","2018-04-27",,,"0.00",,"0.0","0.0",,"68","48","51",
"USC00280907","BOONTON 1 SE, NJ US","2018-04-28",,,"0.11",,"0.0","0.0",,"55","46","49",
"USC00280907","BOONTON 1 SE, NJ US","2018-04-29",,,"0.37",,"0.0","0.0",,"70","48","48",
"USC00280907","BOONTON 1 SE, NJ US","2018-04-30",,,"0.00",,"0.0","0.0",,"56","45","45",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-01",,,"0.05",,"0.0","0.0",,"49","38","39",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-02",,,"0.00",,"0.0","0.0",,"79","39","52",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-03",,,"0.00",,"0.0","0.0",,"85","52","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-04",,,"0.12",,"0.0","0.0",,"87","60","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-05",,,"0.00",,"0.0","0.0",,"83","59","59",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-06",,,"0.03",,"0.0","0.0",,"75","57","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-07",,,"0.22",,"0.0","0.0",,"62","49","49",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-08",,,"0.00",,"0.0","0.0",,"73","47","49",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-09",,,"0.00",,"0.0","0.0",,"74","47","48",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-10",,,"0.00",,"0.0","0.0",,"79","48","50",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-11",,,"0.48",,"0.0","0.0",,"74","50","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-12",,,"0.12",,"0.0","0.0",,"72","48","50",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-13",,,"0.20",,"0.0","0.0",,"55","49","51",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-14",,,"0.23",,"0.0","0.0",,"53","50","52",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-15",,,"0.02",,"0.0","0.0",,"74","51","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-16",,,"0.68",,"0.0","0.0",,"87","59","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-17",,,"0.65",,"0.0","0.0",,"63","56","58",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-18",,,"0.07",,"0.0","0.0",,"73","58","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-19",,,"0.12",,"0.0","0.0",,"66","46","47",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-20",,,"0.60",,"0.0","0.0",,"58","46","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-21",,,"0.03",,"0.0","0.0",,"81","55","56",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-22",,,"0.00",,"0.0","0.0",,"80","56","58",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-23",,,"0.66",,"0.0","0.0",,"67","56","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-24",,,"0.00",,"0.0","0.0",,"79","59","60",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-25",,,"0.00",,"0.0","0.0",,"84","55","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-26",,,"0.00",,"0.0","0.0",,"85","57","68",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-27",,,"0.05",,"0.0","0.0",,"89","65","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-28",,,"0.16",,"0.0","0.0",,"65","54","56",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-29",,,"0.00",,"0.0","0.0",,"71","55","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-30",,,"0.00",,"0.0","0.0",,"91","66","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-05-31",,,"0.00",,"0.0","0.0",,"78","59","62",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-01",,,"0.07",,"0.0","0.0",,"69","62","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-02",,,"0.21",,"0.0","0.0",,"84","66","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-03",,,"0.55",,"0.0","0.0",,"85","58","59",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-04",,,"0.66",,"0.0","0.0",,"66","51","52",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-05",,,"0.00",,"0.0","0.0",,"74","52","54",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-06",,,"0.00",,"0.0","0.0",,"74","53","56",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-07",,,"0.00",,"0.0","0.0",,"71","56","58",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-08",,,"0.00",,"0.0","0.0",,"72","53","56",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-09",,,"0.00",,"0.0","0.0",,"84","55","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-10",,,"0.00",,"0.0","0.0",,"80","62","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-11",,,"0.12",,"0.0","0.0",,"68","56","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-12",,,"0.00",,"0.0","0.0",,"74","47","48",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-13",,,"0.00",,"0.0","0.0",,"76","48","62",
