"","station.name","total"
"1","Pershing Square North",29320
"2","Broadway & E 14 St",25151
"3","West St & Chambers St",24017
"4","E 17 St & Broadway",23743
"5","12 Ave & W 40 St",22428
"6","8 Ave & W 31 St",22225
"7","Broadway & E 22 St",22003
"8","Broadway & W 60 St",20396
"9","W 20 St & 11 Ave",19632
"10","Christopher St & Greenwich St",19499
"11","W 21 St & 6 Ave",18879
"12","8 Ave & W 33 St",18607
"13","W 33 St & 7 Ave",18508
"14","South End Ave & Liberty St",18082
"15","Lafayette St & E 8 St",17229
"16","Grand Army Plaza & Central Park S",17013
"17","Broadway & W 25 St",16862
"18","W 41 St & 8 Ave",16746
"19","Carmine St & 6 Ave",16466
"20","Central Park S & 6 Ave",16352
"21","W 31 St & 7 Ave",16060
"22","Cleveland Pl & Spring St",15913
"23","W 16 St & 8 Ave",15869
"24","Broadway & W 29 St",15866
"25","W 38 St & 8 Ave",15573
"26","1 Ave & E 16 St",15522
"27","E 47 St & Park Ave",15472
"28","W 34 St & 11 Ave",15354
"29","E 24 St & Park Ave S",15158
"30","W 22 St & 10 Ave",15049
"31","W 18 St & 6 Ave",14878
"32","Cooper Square & Astor Pl",14835
"33","Pier 40 - Hudson River Park",14806
"34","Vesey Pl & River Terrace",14791
"35","Washington St & Gansevoort St",14711
"36","Great Jones St",14584
"37","E 13 St & Avenue A",14441
"38","North Moore St & Greenwich St",14118
"39","Grand St & Elizabeth St",14111
"40","W 52 St & 6 Ave",14049
"41","W 22 St & 8 Ave",13899
"42","E 10 St & Avenue A",13651
"43","Broadway & W 41 St",13642
"44","E 33 St & 5 Ave",13505
"45","W 26 St & 10 Ave",13432
"46","E 7 St & Avenue A",13053
"47","Central Park West & W 72 St",13046
"48","Broadway & W 37 St",13033
"49","Broadway & W 49 St",12948
"50","Allen St & Stanton St",12878
"51","5 Ave & E 73 St",12875
"52","Little West St & 1 Pl",12792
"53","W 27 St & 10 Ave",12786
"54","MacDougal St & Prince St",12772
"55","W 24 St & 7 Ave",12678
"56","E 48 St & 5 Ave",12570
"57","Centre St & Chambers St",12497
"58","1 Ave & E 68 St",12497
"59","W 27 St & 7 Ave",12474
"60","5 Ave & E 88 St",12379
"61","Gansevoort St & Hudson St",12358
"62","E 16 St & 5 Ave",12251
"63","W 4 St & 7 Ave S",12237
"64","W 25 St & 6 Ave",12167
