"","station.name","total"
"1","Pershing Square North",27173
"2","Broadway & E 22 St",21831
"3","E 17 St & Broadway",21082
"4","8 Ave & W 31 St",20335
"5","W 21 St & 6 Ave",20034
"6","Broadway & E 14 St",19044
"7","West St & Chambers St",18900
"8","Broadway & W 60 St",18174
"9","W 20 St & 11 Ave",17576
"10","Christopher St & Greenwich St",17164
"11","8 Ave & W 33 St",17026
"12","12 Ave & W 40 St",16789
"13","Lafayette St & E 8 St",16625
"14","W 16 St & 8 Ave",16413
"15","Carmine St & 6 Ave",15722
"16","Broadway & W 25 St",15315
"17","W 38 St & 8 Ave",14936
"18","W 41 St & 8 Ave",14886
"19","6 Ave & W 33 St",14843
"20","Cleveland Pl & Spring St",14758
"21","E 47 St & Park Ave",14679
"22","South End Ave & Liberty St",14470
"23","Grand Army Plaza & Central Park S",14315
"24","1 Ave & E 16 St",14292
"25","W 31 St & 7 Ave",14058
"26","Great Jones St",14048
"27","Cooper Square & Astor Pl",14047
"28","E 24 St & Park Ave S",13931
"29","Central Park S & 6 Ave",13897
"30","W 33 St & 7 Ave",13868
"31","Broadway & W 41 St",13808
"32","Grand St & Elizabeth St",13701
"33","Broadway & W 56 St",13547
"34","E 10 St & Avenue A",13277
"35","E 13 St & Avenue A",13117
"36","11 Ave & W 27 St",12949
"37","Broadway & W 49 St",12647
"38","9 Ave & W 22 St",12545
"39","W 34 St & 11 Ave",12539
"40","W 24 St & 7 Ave",12497
"41","W 18 St & 6 Ave",12352
"42","Gansevoort St & Hudson St",12280
"43","Vesey Pl & River Terrace",11984
"44","E 48 St & 5 Ave",11893
"45","W 4 St & 7 Ave S",11866
"46","Central Park West & W 72 St",11640
"47","MacDougal St & Prince St",11640
"48","University Pl & E 14 St",11620
"49","Washington St & Gansevoort St",11609
"50","W 52 St & 6 Ave",11588
"51","W 27 St & 7 Ave",11510
"52","E 7 St & Avenue A",11501
"53","Broadway & W 29 St",11483
"54","Allen St & Stanton St",11476
"55","E 32 St & Park Ave",11390
"56","Barrow St & Hudson St",11389
"57","E 16 St & 5 Ave",11303
"58","W 26 St & 8 Ave",11294
"59","5 Ave & E 88 St",11284
"60","Pier 40 - Hudson River Park",11251
"61","E 33 St & 1 Ave",11225
"62","Lexington Ave & E 26 St",11209
"63","W 25 St & 6 Ave",11141
"64","1 Ave & E 68 St",11115
"65","W 27 St & 10 Ave",11054
"66","Lafayette St & Jersey St",11047
"67","St Marks Pl & 1 Ave",10934
"68","E 25 St & 2 Ave",10917
"69","2 Ave & E 31 St",10914
"70","North Moore St & Greenwich St",10907
"71","Pershing Square South",10824
"72","E 23 St & 1 Ave",10818
"73","Centre St & Chambers St",10713
"74","W 52 St & 5 Ave",10709
"75","9 Ave & W 45 St",10635
"76","5 Ave & E 73 St",10612
"77","E 15 St & 3 Ave",10610
"78","W 13 St & 7 Ave",10476
"79","W 16 St & The High Line",10476
"80","E 12 St & 3 Ave",10395
"81","St Marks Pl & 2 Ave",10389
"82","E 20 St & 2 Ave",10343
"83","Broadway & Battery Pl",10338
"84","W 22 St & 10 Ave",10296
"85","LaGuardia Pl & W 3 St",10294
"86","E 4 St & 2 Ave",10250
"87","Broadway & W 32 St",10248
"88","E 11 St & 1 Ave",10202
"89","5 Ave & E 29 St",10198
"90","W 20 St & 7 Ave",10142
"91","Sullivan St & Washington Sq",10123
"92","E 39 St & 2 Ave",10119
"93","W 22 St & 8 Ave",9972
"94","E 20 St & FDR Drive",9879
"95","E 31 St & 3 Ave",9857
"96","W 13 St & 5 Ave",9847
"97","6 Ave & Canal St",9840
"98","Mercer St & Bleecker St",9791
"99","Canal St & Rutgers St",9776
"100","W 15 St & 7 Ave",9768
"101","Mott St & Prince St",9698
"102","Columbus Ave & W 72 St",9654
"103","Central Park West & W 68 St",9523
"104","E 2 St & Avenue A",9517
"105","1 Ave & E 18 St",9501
"106","8 Ave & W 52 St",9481
"107","Forsyth St & Broome St",9444
"108","E 2 St & Avenue B",9444
"109","Greenwich St & W Houston St",9389
"110","11 Ave & W 41 St",9344
"111","E 39 St & 3 Ave",9305
"112","11 Ave & W 59 St",9236
"113","E 20 St & Park Ave",9230
"114","Clinton St & Grand St",9201
"115","E 11 St & 2 Ave",9191
"116","Washington Pl & Broadway",9178
"117","E 33 St & 5 Ave",9151
"118","W 20 St & 8 Ave",9147
"119","Little West St & 1 Pl",9123
"120","W 43 St & 6 Ave",9025
"121","Amsterdam Ave & W 73 St",9008
"122","MacDougal St & Washington Sq",8997
"123","W 15 St & 6 Ave",8953
"124","W 45 St & 8 Ave",8942
"125","Allen St & Rivington St",8939
"126","W Broadway & Spring Street",8910
"127","W 49 St & 8 Ave",8874
"128","7 Ave & Central Park South",8867
"129","W 42 St & 8 Ave",8813
"130","Kent Ave & N 7 St",8755
"131","E 2 St & 2 Ave",8735
"132","Greenwich Ave & Charles St",8720
