"","hours","count"
"1","00",29453
"2","01",14701
"3","02",7873
"4","03",4793
"5","04",6631
"6","05",33782
"7","06",118220
"8","07",249097
"9","08",437093
"10","09",315775
"11","10",180279
"12","11",174422
"13","12",204261
"14","13",213158
"15","14",223970
"16","15",243759
"17","16",312708
"18","17",485171
"19","18",477028
"20","19",320680
"21","20",212804
"22","21",142879
"23","22",104585
"24","23",66946
