"","weekday","av.m"
"1","czwartek",16.3822877989489
"2","niedziela",20.4188181137674
"3","pi¹tek",17.980647463143
"4","poniedzia³ek",17.4107669594135
"5","sobota",22.5883188626701
"6","œroda",16.1372115982443
"7","wtorek",16.1162894058898
