"","odl_od_timessquare","count"
"1",0.947216743869403,10889
"2",1.11941086480817,8566
"3",1.93929535806206,8199
"4",2.35242168298803,8089
"5",1.98393472902406,8012
"6",2.6358579167636,7085
"7",0.998227300596679,7020
"8",2.30244150456156,6294
"9",1.28370161126109,6211
"10",0.9478318920252,6109
"11",0.607670834483928,6087
"12",0.409653129182537,6012
"13",3.11591061283985,5995
"14",0.970431645904033,5946
"15",2.24187606769091,5928
"16",1.70219490073179,5896
"17",1.09934329499329,5877
"18",3.31882754587428,5721
"19",1.02173215634249,5693
"20",0.322819094477445,5659
"21",2.87798615089451,5504
"22",4.43392475892503,5456
"23",3.16944927799247,5429
"24",2.61391534759523,5411
"25",3.18874440992425,5400
"26",0.87043359972016,5365
"27",3.3642803050304,5340
"28",5.05535909600203,5303
"29",4.10157895547746,5211
"30",3.45969864751658,5201
"31",1.23101491745318,5105
"32",2.16179549959398,5001
"33",3.52879281974578,4895
"34",1.84222513012062,4860
"35",1.88728587785143,4836
"36",1.39371772742557,4823
"37",0.958917513873582,4806
"38",1.66579574539852,4753
"39",0.317485845276953,4738
"40",1.9523042160167,4735
"41",0.615199647205889,4678
"42",1.43720404414924,4625
"43",3.41151185948992,4599
"44",1.53139994332767,4536
"45",2.43746599690078,4478
"46",2.63732720423807,4474
"47",1.88384632277645,4467
"48",5.75041925486636,4462
"49",1.06479293510751,4444
"50",1.6306624025448,4436
"51",1.64074683003592,4425
"52",2.47040240658148,4392
"53",2.14868531333309,4380
"54",0.537227621440001,4378
"55",1.32847165423366,4341
"56",3.15855021511186,4333
"57",2.71525774066022,4326
"58",3.83933824540667,4296
"59",3.05413393851692,4289
"60",1.81900920484989,4276
"61",1.48161821942457,4275
"62",2.36823757540647,4238
"63",3.72606475000761,4224
"64",2.87845966049332,4196
"65",2.46517917759329,4187
"66",5.40548357693338,4181
"67",3.99901212875007,4172
"68",2.19562476996449,4162
"69",3.03357943640683,4155
"70",1.63434632141471,4131
"71",3.41421061044007,4093
"72",2.62867355829723,4054
"73",1.52249847955499,4049
"74",1.17939517599852,4031
"75",2.00900489565512,4020
"76",0.639794930132649,4002
"77",3.28351949818098,3999
"78",1.4235641356344,3986
"79",3.35068577528123,3978
"80",2.54190249394178,3975
"81",4.86608890525473,3958
"82",2.44570255300725,3930
"83",1.85749676969805,3915
"84",4.68183190364204,3874
"85",3.53606214592406,3857
"86",1.80488711682596,3856
"87",2.13525180478919,3811
"88",2.8061212615633,3810
"89",3.72565885541534,3792
"90",1.98786002739836,3774
"91",4.70745233697642,3735
"92",2.36638806221174,3709
"93",5.27263945200224,3694
"94",0.641399008809794,3688
"95",1.14459002968308,3649
"96",2.19175144763706,3622
"97",0.517642011026198,3619
"98",1.14443273559194,3591
"99",3.87452696184797,3582
"100",3.3661326984059,3571
"101",4.37489932892086,3563
"102",0.454842788324489,3551
"103",1.287238357274,3524
"104",3.9780973876336,3522
"105",4.21083204175909,3509
"106",2.01740551820298,3493
"107",4.68457280748797,3484
"108",0.699439819949443,3479
"109",2.39160200957135,3477
"110",1.40758631394517,3473
"111",0.800768486946855,3472
"112",0.795440747157676,3470
"113",0.292952720643287,3456
"114",2.41233569803807,3447
"115",3.7683682256489,3412
"116",2.60541001759268,3411
"117",1.5422869066637,3395
"118",3.04780910933967,3388
"119",3.08702448934835,3381
"120",3.68269586156697,3336
"121",3.93995627041564,3333
"122",1.83858963181166,3312
"123",1.04572525469893,3310
"124",3.42573632877175,3295
"125",0.817211142241422,3293
"126",0.836720641699838,3267
"127",1.56034731812166,3249
"128",0.360760919206471,3245
"129",3.90796192217925,3228
"130",1.51516099061622,3224
"131",1.67325139979338,3202
"132",2.10771205654203,3196
"133",5.58266142620545,3192
"134",2.7217655926544,3159
"135",1.06008139872929,3151
"136",3.99538585557857,3147
"137",2.18506884817577,3139
"138",0.79836603816185,3136
"139",5.19277575353609,3126
"140",3.55826056313748,3100
"141",1.25104789979565,3075
"142",4.29183433697668,3064
"143",3.25565818189472,3062
"144",2.41237674307895,3047
"145",2.02623746298169,3040
"146",0.793272765551398,3038
"147",4.47681257234521,3035
"148",3.55468773380296,3024
"149",3.28971587993742,3018
"150",1.4913716119253,3016
"151",0.566384718005825,3014
"152",2.80911577436175,3005
"153",3.69773019826654,2991
"154",1.72272974708215,2990
"155",5.82093934519057,2966
"156",6.37633975492153,2961
"157",1.5811236366857,2958
"158",4.14277202517392,2958
"159",4.51325733905719,2956
"160",3.26595687337435,2949
"161",3.99232102106826,2931
"162",2.30302455147115,2928
"163",2.51678157347043,2925
"164",4.87248525646266,2860
"165",2.20876656654604,2856
"166",5.04486964986474,2833
"167",1.11242029746394,2817
"168",0.861025707546773,2804
"169",1.12149813368722,2796
"170",0.518208155706094,2786
"171",1.90296809745416,2755
"172",3.98870717610091,2754
"173",1.64818251599093,2750
"174",4.73735182669297,2746
"175",8.12398207251781,2740
"176",4.52911331557212,2735
"177",0.658354353845619,2733
"178",6.37204590322048,2711
"179",2.49774253130933,2709
"180",1.94783433918509,2690
"181",2.87086507924962,2685
"182",1.23110908600573,2669
"183",5.27744845904394,2653
"184",2.28595585959472,2599
"185",5.67340737504539,2597
"186",4.06982455289788,2596
"187",4.05655806688887,2554
"188",0.619300791926113,2534
"189",0.290580329764426,2528
"190",2.94342417208141,2523
"191",4.0946350459343,2522
"192",6.29965140101143,2522
"193",2.74302900025641,2515
"194",3.0538796818471,2512
"195",2.54023904312868,2499
"196",4.13870913726379,2497
"197",4.27587197739476,2492
"198",4.80829134131331,2490
"199",4.63710023049201,2478
"200",1.17367005489144,2473
"201",0.563997650940809,2459
"202",6.1174674646384,2442
"203",5.25197523262556,2441
"204",2.18279920619962,2440
"205",2.71885191635881,2432
"206",0.994309792939195,2421
"207",1.141910671576,2414
"208",6.28363908164413,2412
