"","days","liczba"
"1","01",7383
"2","02",6183
"3","03",7162
"4","04",7994
"5","05",8034
"6","06",7363
"7","07",7273
"8","08",6864
"9","09",8013
"10","10",8061
"11","11",8625
"12","12",8929
"13","13",9177
"14","14",9001
"15","15",5963
"16","16",6528
"17","17",8126
"18","18",8593
"19","19",7743
"20","20",8314
"21","21",9272
"22","22",8857
"23","23",9164
"24","24",9208
"25","25",6867
"26","26",9458
"27","27",7658
"28","28",8997
"29","29",8405
"30","30",8683
