"","hours","count"
"1","00",7219
"2","01",3987
"3","02",2150
"4","03",1555
"5","04",1657
"6","05",6249
"7","06",20882
"8","07",43985
"9","08",82475
"10","09",65262
"11","10",44384
"12","11",46862
"13","12",55010
"14","13",56966
"15","14",59556
"16","15",63158
"17","16",71383
"18","17",96737
"19","18",91519
"20","19",60307
"21","20",38087
"22","21",26168
"23","22",18810
"24","23",12304
