"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",13915,209000,6.24228966197878,93.7577103380212
"2","Monday",10413,170404,5.75886116902725,94.2411388309728
"3","Saturday",33040,170064,16.2675279659682,83.7324720340318
"4","Sunday",22445,139589,13.8520310552106,86.1479689447894
"5","Thursday",8509,164631,4.91452004158484,95.0854799584151
"6","Tuesday",9241,183458,4.79556199046181,95.2044380095382
"7","Wednesday",9095,184156,4.70631458569425,95.2936854143057
