"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",6809,143194,4.53924254848236,95.4607574515176
"2","Monday",6494,146193,4.25314532343945,95.7468546765605
"3","Saturday",22174,135498,14.0633720635243,85.9366279364757
"4","Sunday",10147,93432,9.79638729858369,90.2036127014163
"5","Thursday",6013,174166,3.33723685890143,96.6627631410986
"6","Tuesday",4539,138173,3.18053141992264,96.8194685800774
"7","Wednesday",2859,86981,3.18232413178985,96.8176758682101
