"","age","count"
"1",51,221946
"2",32,79507
"3",31,76639
"4",30,76279
"5",33,74250
"6",29,72128
"7",34,69587
"8",35,69304
"9",28,68270
"10",36,62188
"11",27,61628
"12",37,56571
"13",38,55962
"14",39,50183
"15",26,46934
"16",40,45985
"17",41,42708
"18",42,38896
"19",43,37467
"20",44,35490
"21",50,33962
"22",45,33961
"23",49,32323
"24",46,32059
"25",47,31691
"26",25,30714
"27",48,30564
"28",52,28544
"29",53,27932
"30",54,25325
"31",55,25031
"32",56,24035
"33",57,23106
"34",58,21989
"35",60,19317
"36",59,18985
"37",61,16760
"38",24,16043
"39",62,14849
"40",63,14410
"41",23,14062
"42",64,12032
"43",22,9753
"44",65,9106
"45",66,9053
"46",21,8271
"47",67,7447
"48",68,5288
"49",20,4864
"50",69,4678
"51",70,3755
"52",72,2940
"53",71,2874
"54",73,2818
"55",19,2560
"56",74,1891
"57",75,1046
"58",76,1042
"59",78,840
"60",80,781
"61",120,777
"62",79,745
"63",77,620
"64",18,587
"65",82,181
"66",81,168
"67",83,164
"68",84,124
"69",88,114
"70",85,112
"71",97,88
"72",133,86
"73",108,81
"74",86,67
"75",119,66
"76",87,57
"77",126,56
"78",125,48
"79",132,48
"80",134,38
"81",110,34
"82",96,32
"83",135,28
"84",121,26
"85",102,22
"86",103,18
"87",130,14
"88",89,12
"89",109,11
"90",94,9
"91",101,9
"92",91,8
"93",99,8
"94",131,7
"95",104,6
"96",127,4
"97",107,2
"98",90,1
"99",113,1
"100",123,1
