"","odl_od_timessquare","count"
"1",0.947216743869403,12026
"2",2.35242168298803,8765
"3",1.98393472902406,8747
"4",1.93929535806206,8269
"5",1.11941086480817,7257
"6",1.23101491745318,7144
"7",2.6358579167636,7046
"8",1.28370161126109,7043
"9",0.409653129182537,6717
"10",1.17939517599852,6538
"11",2.61391534759523,6467
"12",0.998227300596679,6426
"13",5.05535909600203,6350
"14",3.31882754587428,5999
"15",3.11591061283985,5973
"16",0.607670834483928,5960
"17",1.70219490073179,5933
"18",3.3642803050304,5924
"19",1.05371270995774,5855
"20",2.30244150456156,5804
"21",1.48161821942457,5757
"22",3.52879281974578,5754
"23",3.45969864751658,5668
"24",5.27263945200224,5570
"25",3.18874440992425,5534
"26",2.36638806221174,5476
"27",0.970431645904033,5443
"28",0.9478318920252,5442
"29",1.02173215634249,5430
"30",4.10157895547746,5352
"31",2.24187606769091,5269
"32",5.75041925486636,5246
"33",2.16179549959398,5207
"34",0.322819094477445,5206
"35",1.09934329499329,5169
"36",2.87798615089451,5125
"37",2.00900489565512,5105
"38",4.43392475892503,5061
"39",1.96940944884616,4915
"40",3.72606475000761,4735
"41",2.58693796211385,4703
"42",2.19562476996449,4674
"43",2.80911577436175,4641
"44",1.66579574539852,4623
"45",3.3661326984059,4586
"46",1.85749676969805,4577
"47",5.40548357693338,4534
"48",2.13525180478919,4532
"49",2.36823757540647,4532
"50",1.88728587785143,4521
"51",1.43720404414924,4520
"52",0.615199647205889,4517
"53",0.517642011026198,4464
"54",1.83858963181166,4443
"55",1.9523042160167,4434
"56",0.317485845276953,4423
"57",3.41151185948992,4385
"58",2.8061212615633,4373
"59",1.39371772742557,4371
"60",3.83933824540667,4362
"61",1.06479293510751,4349
"62",2.87058753681179,4330
"63",0.537227621440001,4312
"64",1.74334552055765,4286
"65",3.04780910933967,4278
"66",3.41421061044007,4270
"67",2.7217655926544,4244
"68",3.53606214592406,4226
"69",3.18316187875979,4172
"70",1.32847165423366,4138
"71",2.63732720423807,4123
"72",2.43746599690078,4116
"73",3.05413393851692,4110
"74",0.958917513873582,4103
"75",1.6306624025448,4094
"76",2.14868531333309,4071
"77",2.46517917759329,4044
"78",0.639794930132649,3960
"79",2.44570255300725,3956
"80",1.52249847955499,3955
"81",1.53139994332767,3955
"82",3.28351949818098,3932
"83",4.37489932892086,3919
"84",3.35068577528123,3913
"85",1.4235641356344,3877
"86",3.55826056313748,3854
"87",3.7683682256489,3838
"88",3.99538585557857,3838
"89",3.55468773380296,3817
"90",2.94342417208141,3785
"91",4.86608890525473,3763
"92",3.99901212875007,3720
"93",2.47040240658148,3699
"94",0.292952720643287,3692
"95",4.14277202517392,3691
"96",1.80488711682596,3688
"97",0.454842788324489,3656
"98",3.93995627041564,3645
"99",6.37204590322048,3641
"100",5.41572809699402,3634
"101",0.641399008809794,3630
"102",0.87043359972016,3629
"103",2.87845966049332,3626
"104",3.15855021511186,3617
"105",1.56484841510905,3590
"106",1.64074683003592,3583
"107",2.02623746298169,3569
"108",1.5422869066637,3567
"109",1.67325139979338,3545
"110",2.71525774066022,3545
"111",4.21083204175909,3517
"112",3.99232102106826,3506
"113",3.25565818189472,3502
"114",3.28971587993742,3474
"115",6.29965140101143,3449
"116",1.63434632141471,3433
"117",3.26595687337435,3418
"118",1.94783433918509,3379
"119",2.41233569803807,3378
"120",1.14443273559194,3353
"121",4.63710023049201,3327
"122",0.836720641699838,3324
"123",1.90296809745416,3322
"124",0.699439819949443,3273
"125",6.37633975492153,3267
"126",1.14459002968308,3232
