"","age","count"
"1",51,84464
"2",31,53341
"3",30,52939
"4",32,51929
"5",29,51699
"6",28,48847
"7",33,48113
"8",27,45718
"9",34,44395
"10",35,43924
"11",36,41820
"12",37,37612
"13",26,35758
"14",38,35257
"15",39,34289
"16",40,31695
"17",41,30264
"18",25,29010
"19",42,25945
"20",43,25226
"21",44,25200
"22",45,24520
"23",50,24454
"24",46,23538
"25",48,23525
"26",49,23257
"27",47,22509
"28",52,21520
"29",53,20824
"30",54,19785
"31",56,19453
"32",55,19103
"33",57,17451
"34",58,17074
"35",24,16972
"36",60,14665
"37",59,14474
"38",23,12458
"39",61,12195
"40",62,11247
"41",63,10011
"42",64,9477
"43",22,9241
"44",21,8578
"45",66,7044
"46",65,6984
"47",67,6680
"48",20,5458
"49",68,3794
"50",69,3761
"51",19,3007
"52",70,2895
"53",72,2180
"54",71,1888
"55",73,1862
"56",74,1496
"57",18,1148
"58",78,813
"59",75,788
"60",77,776
"61",76,641
"62",79,594
"63",83,344
"64",120,320
"65",80,276
"66",82,203
"67",84,177
"68",81,120
"69",17,82
"70",130,79
"71",85,74
"72",132,66
"73",90,58
"74",119,58
"75",124,52
"76",133,47
"77",86,42
"78",88,40
"79",87,34
"80",103,33
"81",96,32
"82",99,26
"83",110,22
"84",134,21
"85",92,19
"86",121,18
"87",125,17
"88",108,15
"89",101,14
"90",104,13
"91",123,10
"92",113,9
"93",102,7
"94",111,7
"95",97,6
"96",163,6
"97",135,5
"98",93,4
"99",109,4
"100",126,4
"101",131,4
"102",100,3
"103",89,2
"104",91,1
"105",114,1
