"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",46153,261778,14.9880979829897,85.0119020170103
"2","Monday",31839,235437,11.9124051542226,88.0875948457774
"3","Saturday",106518,261222,28.9655735030184,71.0344264969816
"4","Sunday",93576,242333,27.8575447517036,72.1424552482964
"5","Thursday",30976,241078,11.3859748432297,88.6140251567704
"6","Tuesday",29294,234344,11.1114482737693,88.8885517262307
"7","Wednesday",34488,276334,11.0957396838062,88.9042603161938
