"","days","liczba"
"1","01",8813
"2","02",8493
"3","03",7972
"4","04",8753
"5","05",9188
"6","06",9145
"7","07",9190
"8","08",9336
"9","09",8681
"10","10",7540
"11","11",9183
"12","12",9352
"13","13",8844
"14","14",9069
"15","15",8950
"16","16",8390
"17","17",8097
"18","18",8755
"19","19",8968
"20","20",8881
"21","21",8732
"22","22",8817
"23","23",7781
"24","24",8117
"25","25",8909
"26","26",9119
"27","27",8873
"28","28",7811
"29","29",8696
"30","30",7999
