"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",42409,306551,12.1529688216414,87.8470311783585
"2","Monday",27229,235071,10.3808616088448,89.6191383911552
"3","Saturday",68167,226317,23.1479469173198,76.8520530826802
"4","Sunday",45702,157988,22.4370366733762,77.5629633266238
"5","Thursday",25210,241565,9.44991097366695,90.5500890263331
"6","Tuesday",27340,273672,9.08269437763279,90.9173056223672
"7","Wednesday",22258,253624,8.06794209118391,91.9320579088161
