"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",38245,240678,13.7116695288664,86.2883304711336
"2","Monday",37812,216097,14.8919494779626,85.1080505220374
"3","Saturday",40501,126986,24.1815782717465,75.8184217282535
"4","Sunday",31819,125923,20.171545942108,79.828454057892
"5","Thursday",30140,286764,9.51076666750814,90.4892333324919
"6","Tuesday",32050,284722,10.1176871693205,89.8823128306795
"7","Wednesday",32027,300946,9.61849759590117,90.3815024040988
