"","station.name","total"
"1","Pershing Square North",28103
"2","West St & Chambers St",27760
"3","E 17 St & Broadway",23871
"4","Broadway & E 22 St",23132
"5","W 21 St & 6 Ave",22917
"6","12 Ave & W 40 St",22508
"7","Central Park S & 6 Ave",21287
"8","Broadway & E 14 St",20554
"9","8 Ave & W 33 St",20516
"10","W 41 St & 8 Ave",20263
"11","South End Ave & Liberty St",19737
"12","W 33 St & 7 Ave",19076
"13","Carmine St & 6 Ave",18939
"14","Christopher St & Greenwich St",18736
"15","Broadway & W 60 St",18204
"16","W 20 St & 11 Ave",17969
"17","6 Ave & W 33 St",17904
"18","Lafayette St & E 8 St",17580
"19","Grand Army Plaza & Central Park S",17552
"20","W 22 St & 8 Ave",17469
"21","W 31 St & 7 Ave",16489
"22","Centre St & Chambers St",16455
"23","Great Jones St",16346
"24","Broadway & W 25 St",16306
"25","Vesey Pl & River Terrace",16237
"26","E 47 St & Park Ave",16226
"27","Cleveland Pl & Spring St",16001
"28","W 18 St & 6 Ave",15701
"29","Broadway & W 41 St",15578
"30","Cooper Square & Astor Pl",15577
"31","Broadway & W 58 St",15456
"32","E 32 St & Park Ave",15415
"33","Washington St & Gansevoort St",15349
"34","University Pl & E 14 St",15247
"35","W 15 St & 7 Ave",14868
"36","Grand St & Elizabeth St",14562
"37","9 Ave & W 22 St",14557
"38","E 10 St & Avenue A",14538
"39","Pier 40 - Hudson River Park",14477
"40","W 22 St & 10 Ave",14272
"41","11 Ave & W 27 St",14252
"42","E 53 St & Madison Ave",14241
"43","Broadway & W 49 St",14148
"44","W 26 St & 8 Ave",14132
"45","Barrow St & Hudson St",13987
"46","Broadway & W 32 St",13943
"47","1 Ave & E 16 St",13766
"48","MacDougal St & Prince St",13621
"49","W 24 St & 7 Ave",13507
"50","Gansevoort St & Hudson St",13460
"51","9 Ave & W 45 St",13319
"52","Little West St & 1 Pl",13318
"53","Central Park West & W 72 St",13243
"54","Columbus Ave & W 72 St",13206
"55","W 27 St & 7 Ave",13205
"56","Lafayette St & Jersey St",13172
"57","Pershing Square South",12969
"58","W 27 St & 10 Ave",12969
"59","1 Ave & E 68 St",12771
"60","W 49 St & 8 Ave",12757
"61","Broadway & Battery Pl",12621
"62","Amsterdam Ave & W 73 St",12565
"63","Mott St & Prince St",12564
"64","E 7 St & Avenue A",12493
"65","Central Park West & W 68 St",12452
"66","E 24 St & Park Ave S",12404
"67","Lexington Ave & E 24 St",12344
"68","E 16 St & 5 Ave",12335
"69","E 2 St & 2 Ave",12322
"70","South St & Gouverneur Ln",12250
"71","Greenwich St & W Houston St",12175
"72","Canal St & Rutgers St",12059
"73","E 48 St & 5 Ave",11989
"74","5 Ave & E 29 St",11946
"75","W 25 St & 6 Ave",11881
"76","Broadway & W 29 St",11870
"77","St Marks Pl & 2 Ave",11854
"78","E 11 St & 2 Ave",11817
"79","Mercer St & Bleecker St",11565
"80","E 12 St & 3 Ave",11494
"81","Kent Ave & N 7 St",11480
"82","E 39 St & 2 Ave",11473
"83","E 15 St & 3 Ave",11458
"84","Broadway & W 53 St",11456
"85","LaGuardia Pl & W 3 St",11451
"86","W 20 St & 7 Ave",11445
"87","2 Ave & E 31 St",11366
"88","Barclay St & Church St",11365
"89","Lexington Ave & E 29 St",11282
"90","Allen St & Stanton St",11260
"91","St Marks Pl & 1 Ave",11227
"92","Forsyth St & Broome St",11145
"93","Broadway & W 56 St",11052
"94","5 Ave & E 88 St",10981
"95","E 23 St & 1 Ave",10951
"96","E 41 St & Madison Ave",10896
"97","Stanton St & Chrystie St",10857
"98","W 36 St & 9 Ave",10820
"99","Allen St & Rivington St",10767
"100","E 20 St & 2 Ave",10723
"101","FDR Drive & E 35 St",10676
"102","W Broadway & Spring Street",10542
"103","11 Ave & W 41 St",10484
"104","6 Ave & Canal St",10479
"105","E 25 St & 2 Ave",10385
"106","8 Ave & W 52 St",10375
"107","W 4 St & 7 Ave S",10350
"108","Suffolk St & Stanton St",10342
"109","E 20 St & Park Ave",10289
"110","E 13 St & Avenue A",10244
"111","E 20 St & FDR Drive",10222
"112","W 42 St & 8 Ave",10211
"113","E 55 St & 3 Ave",10209
"114","W 15 St & 10 Ave",10176
"115","W 16 St & The High Line",10174
"116","North Moore St & Greenwich St",10147
"117","E 11 St & 1 Ave",10049
"118","Sullivan St & Washington Sq",9892
"119","Greenwich Ave & Charles St",9867
"120","Fulton St & Broadway",9799
"121","S 4 St & Wythe Ave",9781
"122","W 13 St & 6 Ave",9753
"123","Forsyth St & Canal St",9733
"124","W 45 St & 8 Ave",9718
"125","Central Park West & W 85 St",9716
"126","Allen St & Hester St",9693
"127","W 43 St & 10 Ave",9657
"128","8 Ave & W 31 St",9642
"129","1 Ave & E 18 St",9591
"130","Metropolitan Ave & Bedford Ave",9562
"131","E 85 St & 3 Ave",9556
"132","W 63 St & Broadway",9507
"133","W 43 St & 6 Ave",9469
"134","E 31 St & 3 Ave",9457
"135","W 34 St & 11 Ave",9437
"136","W 67 St & Broadway",9408
"137","11 Ave & W 59 St",9370
"138","W 37 St & 10 Ave",9369
"139","West Thames St",9355
"140","W 17 St & 9 Ave",9344
"141","Broadway & W 38 St",9292
"142","E 39 St & 3 Ave",9271
"143","Broadway & W 36 St",9248
"144","E 58 St & 3 Ave",9245
"145","1 Ave & E 30 St",9175
"146","W 26 St & 10 Ave",9165
"147","W 47 St & 10 Ave",9159
"148","W 52 St & 11 Ave",9156
"149","Old Fulton St",9146
"150","S 5 Pl & S 5 St",9034
"151","E 43 St & 5 Ave",8997
"152","W 46 St & 11 Ave",8996
"153","W 13 St & 7 Ave",8984
"154","N 6 St & Bedford Ave",8944
"155","Watts St & Greenwich St",8908
"156","Howard St & Centre St",8871
"157","Hanson Pl & Ashland Pl",8860
"158","E 2 St & Avenue B",8775
"159","1 Ave & E 62 St",8734
"160","E 12 St & Avenue B",8728
"161","Broadway & W 51 St",8639
"162","6 Ave & Spring St",8617
"163","W 42 St & Dyer Ave",8610
"164","Peck Slip & Front St",8594
"165","W 45 St & 6 Ave (OLD)",8588
