"","hours","count"
"1","00",15675
"2","01",8316
"3","02",5015
"4","03",3217
"5","04",3681
"6","05",12998
"7","06",42190
"8","07",88678
"9","08",152533
"10","09",120887
"11","10",85640
"12","11",89038
"13","12",103995
"14","13",108343
"15","14",115452
"16","15",124996
"17","16",143096
"18","17",192887
"19","18",174001
"20","19",124915
"21","20",82898
"22","21",54006
"23","22",42302
"24","23",29804
