"","station.name","total"
"173","7 Ave & Central Park South",5545
"174","Broadway & W 51 St",5530
"175","1 Ave & E 44 St",5522
"176","Forsyth St & Canal St",5515
"177","Little West St & 1 Pl",5450
"178","Broadway & W 53 St",5444
"179","Norfolk St & Broome St",5395
"180","E 72 St & York Ave",5376
"181","W 67 St & Broadway",5374
"182","E 45 St & 3 Ave",5335
"183","S 4 St & Wythe Ave",5289
"184","6 Ave & Broome St",5272
"185","Kent Ave & N 7 St",5259
"186","5 Ave & E 73 St",5189
"187","S 5 Pl & S 5 St",5177
"188","South St & Gouverneur Ln",5101
"189","W 45 St & 6 Ave",5087
"190","E 43 St & 5 Ave",5051
"191","Bank St & Hudson St",5048
"192","W 12 St & W 4 St",5032
"193","MacDougal St & Washington Sq",5032
"194","Bayard St & Baxter St",4995
"195","E 2 St & Avenue C",4992
"196","Watts St & Greenwich St",4988
"197","W 56 St & 10 Ave",4945
"198","Murray St & Greenwich St",4944
"199","W 44 St & 5 Ave",4938
"200","Columbus Ave & W 95 St",4937
"201","West Thames St",4868
"202","Wythe Ave & Metropolitan Ave",4860
"203","E 53 St & Madison Ave",4856
"204","Murray St & West St",4851
"205","E 51 St & Lexington Ave",4842
"206","Jay St & York St",4821
"207","W 70 St & Amsterdam Ave",4800
"208","5 Ave & E 78 St",4792
"209","E 53 St & 3 Ave",4766
"210","Central Park West & W 76 St",4757
"211","W 59 St & 10 Ave",4744
"212","E 55 St & 2 Ave",4743
"213","E 47 St & 2 Ave",4705
"214","Bergen St & Smith St",4690
"215","Division St & Bowery",4656
"216","W 64 St & Thelonious Monk Circle",4639
"217","Amsterdam Ave & W 82 St",4629
"218","E 10 St & 5 Ave",4599
"219","W 54 St & 9 Ave",4569
"220","Central Park W & W 96 St",4530
"221","Amsterdam Ave & W 79 St",4513
"222","Old Fulton St",4496
"223","Hudson St & Reade St",4491
"224","E 55 St & 3 Ave",4474
"225","Rivington St & Chrystie St",4457
"226","Park Pl & Church St",4427
"227","Front St & Washington St",4427
"228","Driggs Ave & N 9 St",4403
"229","Bank St & Washington St",4323
"230","West Drive & Prospect Park West",4312
"231","DeKalb Ave & Hudson Ave",4273
"232","E 52 St & 2 Ave",4270
"233","Fulton St & Adams St",4251
"234","Rivington St & Ridge St",4221
"235","E 6 St & Avenue D",4218
"236","Clark St & Henry St",4207
"237","Pike St & E Broadway",4177
"238","Cliff St & Fulton St",4115
"239","Milton St & Franklin St",4115
"240","Park Ave & E 124 St",4114
"241","Central Park North & Adam Clayton Powell Blvd",4083
"242","Willoughby St & Fleet St",4082
"243","W 84 St & Columbus Ave",4058
"244","W 95 St & Broadway",4041
"245","Pearl St & Hanover Square",4041
"246","W 35 St & Dyer Ave",4041
"247","E 11 St & Broadway",4035
"248","Avenue D & E 3 St",4035
"249","Peck Slip & Front St",4025
"250","Vernon Blvd & 50 Ave",4005
"251","E 74 St & 1 Ave",3975
"252","E 5 St & Avenue C",3968
"253","2 Ave & E 72 St",3894
"254","E 84 St & 3 Ave",3828
"255","W 76 St & Columbus Ave",3827
"256","Fulton St & William St",3807
"257","Washington Pl & 6 Ave",3761
"258","W 82 St & Central Park West",3759
"259","Lenox Ave & W 111 St",3737
"260","Clinton Ave & Myrtle Ave",3707
"261","E 59 St & Madison Ave",3633
"262","Berry St & N 8 St",3624
"263","Franklin St & W Broadway",3623
"264","Perry St & Bleecker St",3622
"265","E 48 St & 3 Ave",3620
"266","E 84 St & 1 Ave",3599
"267","Court St & State St",3598
"268","Stanton St & Norfolk St",3593
"269","Broadway & W 37 St",3554
"270","Schermerhorn St & Bond St",3552
"271","Broadway & Berry St",3548
"272","E 55 St & Lexington Ave",3544
"273","Lexington Ave & E 63 St",3529
"274","Columbia St & Rivington St",3527
"275","Bond St & Fulton St",3518
"276","Dean St & 4 Ave",3492
"277","Bedford Ave & Nassau Ave",3482
"278","Clinton St & Joralemon St",3478
"279","Reade St & Broadway",3471
"280","Catherine St & Monroe St",3456
"281","W 100 St & Broadway",3437
"282","2 Ave & E 96 St",3431
"283","Lawrence St & Willoughby St",3427
"284","S 3 St & Bedford Ave",3415
"285","W 50 St & 9 Ave",3393
"286","St James Pl & Oliver St",3387
"287","Graham Ave & Conselyea St",3375
"288","Front St & Maiden Ln",3360
"289","E 51 St & 1 Ave",3357
"290","Queens Plaza North & Crescent St",3341
"291","W 89 St & Columbus Ave",3324
"292","Riverside Blvd & W 67 St",3321
"293","Leonard St & Church St",3300
"294","Riverside Dr & W 72 St",3282
"295","Hicks St & Montague St",3265
"296","Meserole Ave & Manhattan Ave",3259
"297","William St & Pine St",3245
"298","E 58 St & Madison Ave",3231
"299","7 Ave & Park Pl",3218
"300","Jay St & Tech Pl",3215
"301","Grand Army Plaza & Plaza St West",3204
"302","E 91 St & 2 Ave",3200
"303","Nassau Ave & Russell St",3197
"304","Barclay St & Church St",3186
"305","South St & Whitehall St",3178
"306","W 84 St & Broadway",3169
"307","Madison St & Clinton St",3159
"308","Berkeley Pl & 7 Ave",3151
"309","Plaza St West & Flatbush Ave",3120
"310","5 Ave & E 103 St",3115
"311","Maiden Ln & Pearl St",3042
"312","Avenue D & E 8 St",3023
"313","E 12 St & 3 Ave",3021
"314","Broadway & Roebling St",3016
"315","Centre St & Worth St",2997
"316","Water - Whitehall Plaza",2997
"317","Cadman Plaza E & Red Cross Pl",2977
"318","W 74 St & Columbus Ave",2961
"319","Henry St & Atlantic Ave",2934
"320","W 78 St & Broadway",2931
"321","E 81 St & York Ave",2912
"322","Carroll St & Smith St",2910
"323","Cadman Plaza West & Montague St",2901
"324","E 47 St & 1 Ave",2884
"325","Pike St & Monroe St",2883
"326","E 89 St & 3 Ave",2838
"327","Adelphi St & Myrtle Ave",2833
"328","Old Slip & Front St",2832
"329","Greenpoint Ave & Manhattan Ave",2829
"330","Atlantic Ave & Furman St",2828
"331","Cherry St",2827
"332","W 92 St & Broadway",2802
"333","Bialystoker Pl & Delancey St",2799
"334","E 77 St & 3 Ave",2792
"335","Madison St & Montgomery St",2786
"336","John St & William St",2781
"337","E 88 St & 1 Ave",2771
"338","E 43 St & 2 Ave",2763
"339","3 Ave & E 62 St",2758
"340","Spruce St & Nassau St",2758
"341","Duane St & Greenwich St",2756
"342","Bus Slip & State St",2756
"343","3 St & Prospect Park West",2719
"344","E 81 St & 2 Ave",2710
"345","E 102 St & 1 Ave",2704
"346","Duffield St & Willoughby St",2703
"347","Central Park West & W 100 St",2676
"348","Frederick Douglass Blvd & W 112 St",2668
"349","E 84 St & Park Ave",2656
"350","DeKalb Ave & Vanderbilt Ave",2652
"351","Cathedral Pkwy & Broadway",2632
"352","W 87 St & Amsterdam Ave",2625
"353","Lafayette Ave & Fort Greene Pl",2613
"354","Willoughby Ave & Hall St",2598
"355","Market St & Cherry St",2595
"356","Eastern Pkwy & Franklin Ave",2593
"357","E 75 St & 3 Ave",2591
"358","Kent Ave & S 11 St",2575
"359","Amsterdam Ave & W 66 St",2567
"360","E 97 St & Madison Ave",2563
"361","E 58 St & 1 Ave (NE Corner)",2556
"362","Madison Ave & E 82 St",2555
"363","Harrison St & Hudson St",2554
"364","McGuinness Blvd & Eagle St",2546
"365","Leonard St & Nassau Ave",2532
"366","Henry St & Degraw St",2524
"367","Grand St & Havemeyer St",2523
"368","State St & Smith St",2521
"369","Park Pl & Vanderbilt Ave",2519
"370","Stanton St & Mangin St",2518
"371","E 65 St & 2 Ave",2516
"372","Atlantic Ave & Fort Greene Pl",2498
"373","Union Ave & N 12 St",2488
"374","Schermerhorn St & Court St",2485
"375","E 81 St & 3 Ave",2484
"376","India St & Manhattan Ave",2481
"377","E 76 St & Park Ave",2479
"378","Metropolitan Ave & Meeker Ave",2440
"379","Frederick Douglass Blvd & W 117 St",2434
"380","E 72 St & Park Ave",2432
"381","Pearl St & Anchorage Pl",2418
"382","46 Ave & 5 St",2417
"383","Huron St & Franklin St",2392
"384","Carroll St & 6 Ave",2387
"385","W 106 St & Central Park West",2370
"386","Hope St & Union Ave",2364
"387","Fulton St & Waverly Ave",2336
"388","Banker St & Meserole Ave",2329
"389","3 St & 7 Ave",2326
"390","Driggs Ave & N Henry St",2321
"391","Macon St & Nostrand Ave",2314
"392","Avenue C & E 18 St",2308
"393","N 12 St & Bedford Ave",2296
"394","Lexington Ave & E 36 St",2294
"395","1 Ave & E 94 St",2285
"396","5 Ave & E 93 St",2275
"397","Lafayette Ave & Classon Ave",2268
"398","Congress St & Clinton St",2235
"399","E 78 St & 2 Ave",2227
"400","Cumberland St & Lafayette Ave",2216
"401","Bergen St & Vanderbilt Ave",2213
"402","Kane St & Clinton St",2212
"403","W 100 St & Manhattan Ave",2195
"404","6 Ave & 9 St",2194
"405","Washington Ave & Park Ave",2185
"406","W 88 St & West End Ave",2184
"407","St Nicholas Ave & Manhattan Ave",2169
"408","Flushing Ave & Vanderbilt Ave",2158
"409","Douglass St & 3 Ave",2152
"410","Pleasant Ave & E 116 St",2147
"411","Union St & 4 Ave",2146
"412","Myrtle Ave & Lewis Ave",2127
"413","E 110 St & Madison Ave",2124
"414","DeKalb Ave & S Portland Ave",2119
"415","West End Ave & W 94 St",2110
"416","Riverside Dr & W 82 St",2092
"417","Lafayette Ave & St James Pl",2083
"418","5 Ave & 3 St",2083
"419","Classon Ave & St Marks Ave",2076
"420","E 68 St & 3 Ave",2065
"421","Nassau Ave & Newell St",2059
"422","W 110 St & Amsterdam Ave",2056
"423","Lenox Ave & W 117 St",2056
"424","Stagg St & Union Ave",2034
"425","E 85 St & York Ave",2033
"426","W 90 St & Amsterdam Ave",2030
"427","Montrose Ave & Bushwick Ave",2027
"428","3 Ave & Schermerhorn St",2026
"429","Garfield Pl & 8 Ave",2024
"430","W 106 St & Amsterdam Ave",2001
"431","E 91 St & Park Ave",1998
"432","E 89 St & York Ave",1996
"433","Johnson St & Gold St",1991
"434","31 St & 23 Ave",1982
"435","West End Ave & W 107 St",1961
"436","Underhill Ave & Lincoln Pl",1959
"437","E 88 St & Park Ave",1951
"438","Roebling St & N 4 St",1948
"439","Broadway & Moylan Pl",1936
"440","Washington Park",1934
"441","Grand Ave & Bergen St",1932
"442","Lenox Ave & W 126 St",1928
"443","1 Ave & E 110 St",1926
"444","Bergen St & Flatbush Ave",1918
"445","Monroe St & Bedford Ave",1894
"446","Baltic St & 5 Ave",1882
"447","Carlton Ave & Dean St",1881
"448","Richardson St & N Henry St",1852
"449","Avenue D & E 12 St",1851
"450","Emerson Pl & Myrtle Ave",1849
"451","Madison Ave & E 99 St",1846
"452","Frederick Douglass Blvd & W 115 St",1844
"453","Clinton St & Union St",1843
"454","Fulton St & Rockwell Pl",1839
"455","Devoe St & Lorimer St",1834
"456","Lenox Ave & W 130 St",1812
"457","34 Ave & 38 St",1799
"458","44 Dr & Jackson Ave",1795
"459","2 Ave & E 104 St",1793
"460","Prospect Park West & 8 St",1787
"461","W 116 St & Amsterdam Ave",1781
"462","14 St & 7 Ave",1772
"463","Smith St & 9 St",1763
"464","3 St & 3 Ave",1761
"465","Carlton Ave & Flushing Ave",1759
"466","W 113 St & Broadway",1755
"467","45 Rd & 11 St",1755
"468","Grand St & Greene St",1749
"469","St James Pl & Pearl St",1736
"470","S Portland Ave & Hanson Pl",1730
"471","W 104 St & Amsterdam Ave",1727
"472","St Johns Pl & Washington Ave",1723
"473","E 58 St &  1 Ave (NW Corner)",1721
"474","S 4 St & Rodney St",1717
"475","Bond St & Bergen St",1717
"476","E 93 St & 2 Ave",1717
"477","Scholes St & Manhattan Ave",1711
"478","Warren St & Court St",1707
"479","Graham Ave & Grand St",1701
"480","E 82 St & East End Ave",1700
"481","Front St & Gold St",1700
"482","Henry St & Poplar St",1696
"483","W 116 St & Broadway",1691
"484","Bedford Ave & Bergen St",1691
"485","Carroll St & Bond St",1689
"486","3 Ave & E 72 St",1683
"487","31 St & Broadway",1671
"488","Fulton St & Grand Ave",1655
"489","Pacific St & Nevins St",1655
"490","E 67 St & Park Ave",1647
"491","Carroll St & 5 Ave",1637
"492","3 Ave & E 95 St",1625
"493","5 Ave & E 63 St",1620
"494","Degraw St & Smith St",1617
"495","10 St & 7 Ave",1612
"496","St. Nicholas Ave & W 126 St",1609
"497","E 60 St & York Ave",1603
"498","Eastern Pkwy & Washington Ave",1601
"499","Laight St & Hudson St",1601
"500","44 Dr & 21 St",1592
"501","Lexington Ave & Classon Ave",1590
"502","Washington Ave & Greene Ave",1588
"503","Driggs Ave & Lorimer St",1588
"504","E 68 St & Madison Ave",1580
"505","Riverside Dr & W 104 St",1577
"506","Prospect Pl & Underhill Ave",1567
"507","Clermont Ave & Lafayette Ave",1565
"508","E 103 St & Lexington Ave",1560
"509","31 St & Newtown Ave",1558
"510","Riverside Dr & W 78 St",1556
"511","Smith St & 3 St",1553
"512","1 Pl & Clinton St",1527
"513","Franklin Ave & Empire Blvd",1523
"514","Bushwick Ave & Powers St",1521
"515","Bayard St & Leonard St",1515
"516","Franklin St & Dupont St",1513
"517","Graham Ave & Withers St",1508
"518","E 66 St & Madison Ave",1495
"519","Douglass St & 4 Ave",1478
"520","Cadman Plaza E & Johnson St",1465
"521","Wyckoff St & 3 Ave",1451
"522","Butler St & Court St",1415
"523","Union St & Nevins St",1413
"524","Carlton Ave & Park Ave",1410
"525","Nassau St & Navy St",1405
"526","Columbia St & Degraw St",1395
