"","hours","count"
"1","00",10370
"2","01",5748
"3","02",3257
"4","03",2219
"5","04",2545
"6","05",8282
"7","06",26397
"8","07",56079
"9","08",103341
"10","09",86459
"11","10",60762
"12","11",62407
"13","12",73310
"14","13",78378
"15","14",81113
"16","15",86477
"17","16",98798
"18","17",135995
"19","18",126746
"20","19",83448
"21","20",54818
"22","21",36611
"23","22",26644
"24","23",17756
