"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",48933,311827,13.5638651735226,86.4361348264774
"2","Monday",41006,192288,17.5769629737584,82.4230370262416
"3","Saturday",73746,184700,28.5343940320222,71.4656059679778
"4","Sunday",40345,106423,27.4889621715905,72.5110378284095
"5","Thursday",32616,289700,10.1192618424155,89.8807381575845
"6","Tuesday",23639,230651,9.2960792795627,90.7039207204373
"7","Wednesday",34281,314408,9.83139703288604,90.168602967114
