"","hours","count"
"1","00",12357
"2","01",6808
"3","02",4171
"4","03",2649
"5","04",3088
"6","05",10434
"7","06",36085
"8","07",79110
"9","08",142579
"10","09",115306
"11","10",81119
"12","11",83079
"13","12",97246
"14","13",103107
"15","14",107802
"16","15",113933
"17","16",128006
"18","17",177669
"19","18",169043
"20","19",111496
"21","20",71290
"22","21",48855
"23","22",37116
"24","23",23746
