"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",14900,170440,8.03927916262005,91.96072083738
"2","Monday",11756,175947,6.26308583240545,93.7369141675945
"3","Saturday",57758,158428,26.7168086740122,73.2831913259878
"4","Sunday",36579,144541,20.1960026501767,79.8039973498233
"5","Thursday",13104,184253,6.63974421986552,93.3602557801345
"6","Tuesday",7647,164501,4.4421079536213,95.5578920463787
"7","Wednesday",7567,160122,4.51252020108654,95.4874797989135
