"","age","count"
"1",51,153210
"2",31,72730
"3",30,71880
"4",32,71032
"5",29,69102
"6",28,68753
"7",33,64209
"8",27,62557
"9",34,58278
"10",35,56147
"11",36,53969
"12",26,53205
"13",37,48623
"14",38,45603
"15",39,43331
"16",25,43055
"17",40,38997
"18",41,38244
"19",42,32646
"20",44,31547
"21",43,31325
"22",50,30976
"23",45,29594
"24",46,28188
"25",48,28134
"26",49,27804
"27",47,27726
"28",53,26203
"29",52,25985
"30",24,25385
"31",55,23237
"32",56,23139
"33",54,22969
"34",57,21370
"35",58,20186
"36",59,17970
"37",60,17840
"38",23,16378
"39",61,14975
"40",22,13455
"41",62,13289
"42",63,12124
"43",21,11870
"44",64,11427
"45",20,8393
"46",65,8287
"47",66,8256
"48",67,7299
"49",19,5025
"50",69,4529
"51",68,4471
"52",70,3183
"53",72,2744
"54",71,2473
"55",18,2227
"56",73,1997
"57",74,1648
"58",75,1074
"59",78,907
"60",77,837
"61",76,680
"62",79,627
"63",83,338
"64",84,322
"65",17,319
"66",80,280
"67",120,280
"68",82,143
"69",81,109
"70",132,100
"71",85,92
"72",88,88
"73",90,80
"74",119,65
"75",130,58
"76",86,53
"77",96,48
"78",131,40
"79",87,33
"80",135,31
"81",99,30
"82",125,29
"83",110,27
"84",124,27
"85",134,24
"86",133,22
"87",108,19
"88",121,19
"89",103,15
"90",104,12
"91",89,10
"92",102,8
"93",127,8
"94",116,7
"95",92,6
"96",111,5
"97",97,4
"98",105,4
"99",126,4
"100",123,3
"101",91,2
"102",101,2
"103",113,2
"104",157,2
