"","age","count"
"1",51,219420
"2",32,70778
"3",30,68984
"4",31,68564
"5",29,66585
"6",33,65871
"7",34,64244
"8",35,62824
"9",28,61979
"10",36,56338
"11",27,54277
"12",37,53057
"13",38,50322
"14",39,47998
"15",40,43535
"16",41,40400
"17",26,40315
"18",42,36783
"19",43,35118
"20",44,34400
"21",50,33106
"22",45,32845
"23",49,31506
"24",46,31137
"25",47,31023
"26",48,29155
"27",52,26871
"28",53,26739
"29",25,26681
"30",55,23920
"31",54,23862
"32",57,23092
"33",56,23087
"34",58,21394
"35",60,19479
"36",59,18216
"37",61,16701
"38",24,14774
"39",62,14333
"40",63,13962
"41",64,12222
"42",23,11038
"43",65,9450
"44",22,9320
"45",66,8878
"46",67,7770
"47",21,6776
"48",68,5039
"49",69,4704
"50",70,3717
"51",20,3585
"52",72,2745
"53",71,2508
"54",73,2165
"55",74,2035
"56",19,1468
"57",120,1123
"58",75,964
"59",76,930
"60",78,842
"61",77,722
"62",79,689
"63",18,395
"64",80,393
"65",83,188
"66",81,171
"67",82,159
"68",97,143
"69",86,97
"70",88,81
"71",85,80
"72",133,80
"73",84,76
"74",108,53
"75",119,45
"76",87,44
"77",126,43
"78",132,31
"79",89,30
"80",135,30
"81",121,28
"82",110,25
"83",91,23
"84",101,15
"85",102,15
"86",134,14
"87",99,13
"88",96,11
"89",103,11
"90",104,11
"91",107,9
"92",125,8
"93",90,5
"94",131,5
"95",94,4
"96",130,4
"97",95,2
"98",123,2
"99",105,1
