"","weekday","Customer","Subscriber","Customer.percent","Subscriber.percent"
"1","Friday",20776,173729,10.6814734839721,89.3185265160279
"2","Monday",26094,246349,9.57778324273334,90.4222167572667
"3","Saturday",54244,176995,23.457980703947,76.542019296053
"4","Sunday",49794,166450,23.0267660605612,76.9732339394388
"5","Thursday",21690,229496,8.63503539209988,91.3649646079001
"6","Tuesday",28864,289764,9.05883977553762,90.9411602244624
"7","Wednesday",27971,253878,9.92410829912471,90.0758917008753
